Food Item,Serving Location
Granola Parfait ,Greens & Grains
Grapefruit Halves ,Greens & Grains
Greek Chicken Wrap,Greens & Grains
Greek Tomato Sauce ,The Brick
Grilled Ahi Tuna Bowl with Brown Rice,International
Grilled Cheddar On Wheat ,The Grill
Grilled Cheese and Tomato on Wheat ,The Grill
Grilled Cheese on Sourdough ,The Grill
Grilled Chicken Teriyaki,Chef's Choice
Grilled Mediterranean Sandwich,The Grill
Grilled Salmon Pasta w/Roma Tomato,The Brick
Grilled Swiss & Tomato on Whole Wheat,The Grill
Grilled Tuscan Chicken,Chef's Choice
Grilled Zucchini & Tomatoes ,Chef's Choice
Haroset  ,Salad Bar Featured Items
Hash Browns ,The Grill
Hawaiian Sweet Bread ,Bakery
Hawaiian Sweet Roll ,Bakery
Herb Focaccia Bread ,Bakery
Herb Marinated Rotisserie Chicken,Chef's Choice
Home Fried Potatos ,The Grill
Homemade Biscuit ,Bakery
Homemade Bread ,Bakery
Homemade Cinnamon Rolls ,Bakery
Homemade Onion Bread ,Bakery
Honey Sriracha Glaze Brussel Sprouts ,Chef's Choice
Honeydew Melon ,Greens & Grains
Housemade Ketchup ,The Grill
Housemade Spicy Ketchup ,The Grill
Huevos Rancheros ,The Grill
Huli Huli Chicken,Chef's Choice
Irish Soda Bread ,Bakery
Italian Tomato Panini ,Greens & Grains
Jack Cheese ,Greens & Grains
Jasmine Rice ,Greens & Grains
Kale & Quinoa Salad w/Almonds ,Greens & Grains
Kale with Fresh Garlic ,Chef's Choice
Lemon Ginger Chicken,International
Lemon Pie ,Bakery
Lettuce/Cheese/Tomatoes ,International
Lime ,Chef's Choice
Lime Bar ,Bakery
Linguini Pasta ,The Brick
Long Grain Rice ,Greens & Grains
Make Your Own Waffle ,Greens & Grains
Malibu Burger ,The Grill
Mango Cake ,Bakery
Maple Syrup ,The Brick
Marinara Sauce ,The Brick
Marinara Sauce with Sausage,The Brick
Mashed Red Potatoes w/ Garlic ,Chef's Choice
Matzo Ball Chicken Soup,Chef's Choice
Matzo Brei ,The Grill
Meatball Pizza,The Brick
Mediterranean Spiced Rotisserie Chicken,Chef's Choice
Mexican Rice ,Chef's Choice
Mexican Scrambled Eggs ,The Grill
Minestrone Soup ,Greens & Grains
Mini Street Style Fish Taco,International
Mint Chocolate Chip Cookie ,Bakery
Miso Ramen ,International
